concept,letter,clue,distractor1,distractor2,category
Software Development Life Cycle (SDLC),SDLC,What SDLC is the sequence of steps a programmer follows from requirements definition through to maintenance?,Software Design Life Cycle,System Development Logic Chain,Programming fundamentals
Software quality criteria,S,"What S covers the criteria (functionality, performance, readability, documentation) a software solution should be evaluated against?",String data type,Syntax error,Programming fundamentals
Agile methodology,A,What A is an iterative development methodology that delivers working software in short cycles with continuous client feedback?,Array,Automated testing,Programming fundamentals
Waterfall methodology,W,What W is a development methodology that completes each phase fully before the next begins?,Watch,Workflow automation,Programming fundamentals
Version control / code collaboration tools,VC,What VC tracks changes to code over time and lets multiple developers work on the same codebase together?,Virtual Container,Variable Cache,Programming fundamentals
Encapsulation,E,"What E bundles data and the methods that operate on it within a single unit, restricting direct access?",Extensibility,Exception handling,The object-oriented paradigm
Abstraction,A,What A hides complex implementation detail and exposes only the features an object needs to show?,Aggregation,Access modifier,The object-oriented paradigm
Inheritance,I,What I is a mechanism where a new class derives attributes and methods from an existing class?,Interface,Instantiation,The object-oriented paradigm
Polymorphism,P,What P lets different classes respond differently to a call to the same method name?,Prototyping,Parametric typing,The object-oriented paradigm
Message passing,MP,What MP is the term for one object calling a method on another object in OOP?,Message Parsing,Machine Program,The object-oriented paradigm
Code optimisation,CO,What CO covers techniques that improve a program's efficiency or quality without changing its intended behaviour?,Class Overloading,Compiler Optimisation,The object-oriented paradigm
Facade pattern,F,What F is a design pattern that provides a simplified interface to a complex subsystem?,Factory pattern,Flyweight pattern,The object-oriented paradigm
Singleton pattern,S,What S is a design pattern that ensures a class has only one instance and a single global access point?,State pattern,Static pattern,The object-oriented paradigm
Strategy pattern,ST,What ST is a design pattern that defines a family of interchangeable algorithms selectable at runtime?,Structural pattern,Stateless pattern,The object-oriented paradigm
Observer pattern,O,What O is a design pattern where dependent objects are automatically notified when the object they're watching changes state?,Output pattern,Overload pattern,The object-oriented paradigm
Unit testing,UT,What UT is testing individual components or modules in isolation?,Utility Testing,Uniform Trial,The object-oriented paradigm
Subsystem testing,SST,What SST is testing a subset of integrated modules together?,Structured Software Trial,Standard System Test,The object-oriented paradigm
System testing,SYS,"What SYS is testing the complete, integrated system against its specified requirements?",Synchronised Testing,Systemic Verification,The object-oriented paradigm
Black-box testing,BB,"What BB is testing based only on a system's inputs and outputs, with no knowledge of its internal code?",Basic Benchmark,Binary Build,The object-oriented paradigm
White-box testing,WB,"What WB is testing done with full knowledge of a system's internal code, exercising every logical path?",Weighted Benchmark,Workflow Build,The object-oriented paradigm
Grey-box testing,GB,"What GB is testing that sits between black-box and white-box, using partial knowledge of internal workings?",Global Benchmark,Generic Build,The object-oriented paradigm
Sensor,S,What S is a component that detects or measures something about the environment and feeds that data into a system?,Simulation,Servo,Programming mechatronics
Actuator,A,What A is a component that converts a control signal into physical movement or action?,Amplifier,Algorithm,Programming mechatronics
Capacitor (wiring symbol),C,"What C, drawn as two parallel lines with a gap, stores electrical charge temporarily?",Control interface design,Circuit board,Programming mechatronics
Resistor (wiring symbol),R,"What R, drawn as a zig-zag line, limits current flow in a circuit?",Relay,Rectifier,Programming mechatronics
Diode (wiring symbol),D,"What D, drawn as a triangle pointing into a bar, allows current to flow in one direction only?",Diagnostic data,Designing for accessibility,Programming mechatronics
Motor (wiring symbol),M,"What M, drawn as a circle containing its own initial, converts electrical energy into rotational motion?",Multimeter,Microphone,Programming mechatronics
LED (wiring symbol),LED,"What LED, drawn as a diode symbol with two small arrows, emits light when current flows through it?",Linear Energy Diode,Low Emission Display,Programming mechatronics
Diagnostic data,D,What D is data used to identify and troubleshoot problems after they've occurred?,Diode (wiring symbol),Designing for accessibility,Programming mechatronics
Optimisation data,O,What O is historical data analysed to improve future performance?,Opcode,Output,Programming mechatronics
Real-time control data,RT,What RT is the live data values actively driving a system's behaviour right now?,Runtime Telemetry,Remote Trigger,Programming mechatronics
Closed-loop control system,CL,What CL is a control system that continually monitors its own output through a feedback loop and adjusts accordingly?,Circuit Logic,Control Layer,Programming mechatronics
Open-loop control system,OL,"What OL is a control system that runs on fixed, preset inputs with no feedback?",Output Logic,Overload Limiter,Programming mechatronics
Degrees of freedom,DOF,What DOF is the number of independent ways a mechanical system can move?,Digital Output Feed,Dynamic Operating Frame,Programming mechatronics
Microcontroller,MC,"What MC is a small, self-contained computer embedded in a device to run its control program?",Machine Code,Motor Casing,Programming mechatronics
Opcode,O,What O is the part of a machine instruction that specifies which operation the CPU should perform?,Optimisation data,Operand,Programming mechatronics
Address register,AR,What AR holds the memory address of the data or instruction the CPU is about to access?,Arithmetic Register,Auxiliary RAM,Programming mechatronics
Data register,DR,What DR temporarily holds a data value the CPU is currently working with?,Direct Read,Dynamic RAM,Programming mechatronics
Battery/power selection,B,What B is choosing a battery based on whether its capacity and voltage can sustain a system's power draw for its required runtime?,Backup Power,Bulk Power,Programming mechatronics
Designing for accessibility,D,"What D is designing a system's interface and mechanism around the specific range of motion, force, or ability the intended user actually has?",Diode (wiring symbol),Diagnostic data,Programming mechatronics
Autonomous control,AC,"What AC is control code that adjusts a system's own behaviour based on sensor feedback, without a person triggering every action?",Adaptive Calibration,Analog Circuit,Programming mechatronics
Gradual (ramped) motor control,G,"What G adjusts a motor's actual speed toward a target incrementally, rather than jumping straight to it?",Gearbox,Gyroscope,Programming mechatronics
Sensor-actuator integration,SAI,"What SAI is writing code that reads a sensor, decides based on that reading, and then triggers an actuator?",Signal Amplifier Interface,System Automation Index,Programming mechatronics
Simulation,S,"What S is a software model of a mechatronic system's behaviour, used to test code without physical hardware?",Sensor,Schematic,Programming mechatronics
Prototype,P,"What P is an early physical (or partially physical) build of a system, used to test real-world behaviour before final production?",Platform,Protocol,Programming mechatronics
Live field test,LFT,"What LFT is testing the finished system in its real intended environment, under real operating conditions?",Low Fidelity Trial,Local Function Test,Programming mechatronics
Control interface design,C,"What C covers the considerations (clear controls, feedback, safeguards, responsiveness) in designing how an operator controls a mechatronic system?",Capacitor (wiring symbol),Command console,Programming mechatronics
Unit testing mechatronic components,UT,"What UT is testing each component's control algorithm in isolation, rather than only testing the whole assembled system?",Universal Trial,Upgrade Test,Programming mechatronics
Threshold-based control,TBC,What TBC compares a current value to a target and triggers different actions depending on which side of a tolerance band it falls on?,Time-Based Calibration,Torque Balance Circuit,Programming mechatronics
Proportional control,PC,"What PC scales the size of a correction in proportion to the size of the current error, rather than a fixed-size reaction?",Program Counter,Power Converter,Programming mechatronics
